onset	duration	value	event	stim_file
32294	0	20	cross/white	n/a
33764	0	20	cross/white	n/a
35233	0	20	cross/white	n/a
36702	0	20	cross/white	n/a
38172	0	20	cross/white	n/a
39641	0	20	cross/white	n/a
40509	0	111	button_press	n/a
41110	0	20	cross/white	n/a
42075	0	111	button_press	n/a
42580	0	20	cross/white	n/a
44049	0	20	cross/white	n/a
45518	0	20	cross/white	n/a
46988	0	20	cross/white	n/a
47808	0	111	button_press	n/a
48457	0	20	cross/white	n/a
49926	0	20	cross/white	n/a
51396	0	20	cross/white	n/a
52095	0	111	button_press	n/a
52865	0	20	cross/white	n/a
54334	0	20	cross/white	n/a
55804	0	20	cross/white	n/a
56552	0	111	button_press	n/a
57273	0	20	cross/white	n/a
58742	0	20	cross/white	n/a
59538	0	111	button_press	n/a
60212	0	20	cross/white	n/a
61681	0	20	cross/white	n/a
63150	0	20	cross/white	n/a
64620	0	20	cross/white	n/a
65367	0	111	button_press	n/a
66089	0	20	cross/white	n/a
67558	0	20	cross/white	n/a
69028	0	20	cross/white	n/a
70497	0	20	cross/white	n/a
71268	0	111	button_press	n/a
71966	0	20	cross/white	n/a
73340	0	111	button_press	n/a
73436	0	20	cross/white	n/a
74905	0	20	cross/white	n/a
76543	0	200	feedback	n/a
77916	0	20	cross/white	n/a
79385	0	20	cross/white	n/a
80854	0	20	cross/white	n/a
82324	0	20	cross/white	n/a
83793	0	20	cross/white	n/a
84661	0	111	button_press	n/a
85262	0	20	cross/white	n/a
86732	0	20	cross/white	n/a
88201	0	20	cross/white	n/a
89093	0	111	button_press	n/a
89670	0	20	cross/white	n/a
91140	0	20	cross/white	n/a
92609	0	20	cross/white	n/a
93333	0	111	button_press	n/a
94078	0	20	cross/white	n/a
95548	0	20	cross/white	n/a
97017	0	20	cross/white	n/a
98486	0	20	cross/white	n/a
99258	0	111	button_press	n/a
99956	0	20	cross/white	n/a
101065	0	111	button_press	n/a
101425	0	20	cross/white	n/a
102894	0	20	cross/white	n/a
104364	0	20	cross/white	n/a
105833	0	20	cross/white	n/a
107302	0	20	cross/white	n/a
108243	0	111	button_press	n/a
108772	0	20	cross/white	n/a
110241	0	20	cross/white	n/a
111061	0	111	button_press	n/a
111710	0	20	cross/white	n/a
113180	0	20	cross/white	n/a
114649	0	20	cross/white	n/a
115469	0	111	button_press	n/a
116118	0	20	cross/white	n/a
117588	0	20	cross/white	n/a
119057	0	20	cross/white	n/a
120526	0	20	cross/white	n/a
121298	0	111	button_press	n/a
121996	0	200	feedback	n/a
123537	0	20	cross/white	n/a
125007	0	20	cross/white	n/a
126476	0	20	cross/white	n/a
127633	0	111	button_press	n/a
127945	0	20	cross/white	n/a
129415	0	20	cross/white	n/a
130884	0	20	cross/white	n/a
131704	0	111	button_press	n/a
132353	0	20	cross/white	n/a
