onset	duration	value	event	stim_file
16173	0	20	cross/white	n/a
17642	0	20	cross/white	n/a
19112	0	20	cross/white	n/a
20172	0	111	button_press	n/a
20581	0	20	cross/white	n/a
22050	0	20	cross/white	n/a
23520	0	20	cross/white	n/a
24243	0	111	button_press	n/a
24989	0	20	cross/white	n/a
26146	0	111	button_press	n/a
26458	0	20	cross/white	n/a
27928	0	20	cross/white	n/a
29397	0	20	cross/white	n/a
30241	0	111	button_press	n/a
30866	0	20	cross/white	n/a
32336	0	20	cross/white	n/a
33805	0	20	cross/white	n/a
34529	0	111	button_press	n/a
35274	0	20	cross/white	n/a
36743	0	20	cross/white	n/a
38213	0	20	cross/white	n/a
39682	0	20	cross/white	n/a
41152	0	20	cross/white	n/a
41899	0	111	button_press	n/a
42621	0	20	cross/white	n/a
43851	0	111	button_press	n/a
44090	0	20	cross/white	n/a
45559	0	20	cross/white	n/a
47029	0	20	cross/white	n/a
47945	0	111	button_press	n/a
48498	0	20	cross/white	n/a
49967	0	20	cross/white	n/a
51437	0	20	cross/white	n/a
52906	0	20	cross/white	n/a
54375	0	20	cross/white	n/a
55388	0	111	button_press	n/a
55845	0	20	cross/white	n/a
57314	0	20	cross/white	n/a
58783	0	20	cross/white	n/a
59796	0	111	button_press	n/a
60638	0	200	feedback	n/a
61794	0	20	cross/white	n/a
63264	0	20	cross/white	n/a
64733	0	20	cross/white	n/a
66202	0	20	cross/white	n/a
67672	0	20	cross/white	n/a
68684	0	111	button_press	n/a
69141	0	20	cross/white	n/a
70610	0	20	cross/white	n/a
71600	0	111	button_press	n/a
72080	0	20	cross/white	n/a
73549	0	20	cross/white	n/a
75018	0	20	cross/white	n/a
75983	0	111	button_press	n/a
76488	0	20	cross/white	n/a
77957	0	20	cross/white	n/a
79426	0	20	cross/white	n/a
80222	0	111	button_press	n/a
80896	0	20	cross/white	n/a
82365	0	20	cross/white	n/a
83834	0	20	cross/white	n/a
84678	0	111	button_press	n/a
85304	0	20	cross/white	n/a
86773	0	20	cross/white	n/a
88242	0	20	cross/white	n/a
89712	0	20	cross/white	n/a
90508	0	111	button_press	n/a
91181	0	20	cross/white	n/a
92650	0	20	cross/white	n/a
94120	0	20	cross/white	n/a
95108	0	111	button_press	n/a
95589	0	20	cross/white	n/a
97058	0	20	cross/white	n/a
98528	0	20	cross/white	n/a
99396	0	111	button_press	n/a
99997	0	20	cross/white	n/a
101466	0	20	cross/white	n/a
102334	0	111	button_press	n/a
102935	0	20	cross/white	n/a
104405	0	20	cross/white	n/a
105898	0	200	feedback	n/a
107416	0	20	cross/white	n/a
108887	0	111	button_press	n/a
110354	0	20	cross/white	n/a
111824	0	20	cross/white	n/a
112740	0	111	button_press	n/a
113293	0	20	cross/white	n/a
114762	0	20	cross/white	n/a
116232	0	20	cross/white	n/a
117701	0	20	cross/white	n/a
119170	0	20	cross/white	n/a
120280	0	111	button_press	n/a
120640	0	20	cross/white	n/a
122109	0	20	cross/white	n/a
123578	0	20	cross/white	n/a
124423	0	111	button_press	n/a
125048	0	20	cross/white	n/a
126517	0	20	cross/white	n/a
127986	0	20	cross/white	n/a
128734	0	111	button_press	n/a
129456	0	20	cross/white	n/a
130925	0	20	cross/white	n/a
131769	0	111	button_press	n/a
132394	0	20	cross/white	n/a
133864	0	20	cross/white	n/a
135333	0	20	cross/white	n/a
136802	0	20	cross/white	n/a
137599	0	111	button_press	n/a
138272	0	20	cross/white	n/a
139381	0	111	button_press	n/a
139741	0	20	cross/white	n/a
141210	0	20	cross/white	n/a
142680	0	20	cross/white	n/a
143500	0	111	button_press	n/a
144149	0	20	cross/white	n/a
145618	0	20	cross/white	n/a
147088	0	20	cross/white	n/a
147932	0	111	button_press	n/a
148557	0	20	cross/white	n/a
150026	0	20	cross/white	n/a
151496	0	200	feedback	n/a
155384	0	111	button_press	n/a
156169	0	20	cross/white	n/a
158217	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
158625	0	20	cross/white	n/a
