onset	duration	value	event	stim_file
6566	0	20	cross/white	n/a
6933	0	20	cross/white	n/a
7138	0	111	button_press	n/a
7667	0	20	cross/white	n/a
7855	0	111	button_press	n/a
8402	0	20	cross/white	n/a
8511	0	111	button_press	n/a
8769	0	20	cross/white	n/a
9137	0	20	cross/white	n/a
9504	0	20	cross/white	n/a
9871	0	20	cross/white	n/a
10239	0	20	cross/white	n/a
10973	0	20	cross/white	n/a
11341	0	20	cross/white	n/a
11522	0	111	button_press	n/a
12075	0	20	cross/white	n/a
12443	0	20	cross/white	n/a
12581	0	111	button_press	n/a
13027	0	111	button_press	n/a
13545	0	20	cross/white	n/a
13912	0	20	cross/white	n/a
14105	0	111	button_press	n/a
14647	0	20	cross/white	n/a
15014	0	20	cross/white	n/a
15219	0	111	button_press	n/a
15749	0	20	cross/white	n/a
16002	0	111	button_press	n/a
16483	0	20	cross/white	n/a
16851	0	20	cross/white	n/a
17038	0	111	button_press	n/a
17682	0	200	feedback	n/a
17977	0	20	cross/white	n/a
18344	0	20	cross/white	n/a
18711	0	20	cross/white	n/a
19079	0	20	cross/white	n/a
19446	0	20	cross/white	n/a
19813	0	20	cross/white	n/a
20054	0	111	button_press	n/a
20548	0	20	cross/white	n/a
20915	0	20	cross/white	n/a
21145	0	111	button_press	n/a
21650	0	20	cross/white	n/a
21831	0	111	button_press	n/a
22385	0	20	cross/white	n/a
22572	0	111	button_press	n/a
23119	0	20	cross/white	n/a
23487	0	20	cross/white	n/a
23854	0	20	cross/white	n/a
24047	0	111	button_press	n/a
24589	0	20	cross/white	n/a
24782	0	111	button_press	n/a
25323	0	20	cross/white	n/a
25691	0	20	cross/white	n/a
25854	0	111	button_press	n/a
26425	0	20	cross/white	n/a
26793	0	20	cross/white	n/a
26998	0	111	button_press	n/a
27299	0	111	button_press	n/a
27895	0	20	cross/white	n/a
28124	0	111	button_press	n/a
28629	0	20	cross/white	n/a
28997	0	200	feedback	n/a
29382	0	20	cross/white	n/a
29749	0	20	cross/white	n/a
29972	0	111	button_press	n/a
30484	0	20	cross/white	n/a
30851	0	20	cross/white	n/a
