onset	duration	value	event	stim_file
21274	0	20	cross/white	n/a
21641	0	20	cross/white	n/a
22008	0	20	cross/white	n/a
22256	0	111	button_press	n/a
22743	0	20	cross/white	n/a
22936	0	111	button_press	n/a
23478	0	20	cross/white	n/a
23845	0	20	cross/white	n/a
24020	0	111	button_press	n/a
24580	0	20	cross/white	n/a
24785	0	111	button_press	n/a
25314	0	20	cross/white	n/a
25682	0	20	cross/white	n/a
26049	0	20	cross/white	n/a
26236	0	111	button_press	n/a
26784	0	20	cross/white	n/a
27151	0	20	cross/white	n/a
27518	0	20	cross/white	n/a
27718	0	111	button_press	n/a
28253	0	20	cross/white	n/a
28620	0	20	cross/white	n/a
28826	0	111	button_press	n/a
29259	0	111	button_press	n/a
29722	0	20	cross/white	n/a
30090	0	20	cross/white	n/a
30457	0	20	cross/white	n/a
30626	0	111	button_press	n/a
31192	0	20	cross/white	n/a
31559	0	20	cross/white	n/a
31752	0	111	button_press	n/a
32318	0	200	feedback	n/a
32679	0	20	cross/white	n/a
33046	0	20	cross/white	n/a
33264	0	111	button_press	n/a
33781	0	20	cross/white	n/a
34148	0	20	cross/white	n/a
34516	0	20	cross/white	n/a
34715	0	111	button_press	n/a
35250	0	20	cross/white	n/a
35474	0	111	button_press	n/a
35985	0	20	cross/white	n/a
36352	0	20	cross/white	n/a
36720	0	20	cross/white	n/a
36931	0	111	button_press	n/a
37454	0	20	cross/white	n/a
37822	0	20	cross/white	n/a
38021	0	111	button_press	n/a
38556	0	20	cross/white	n/a
38924	0	20	cross/white	n/a
39111	0	111	button_press	n/a
39544	0	111	button_press	n/a
40026	0	20	cross/white	n/a
40393	0	20	cross/white	n/a
40760	0	20	cross/white	n/a
40954	0	111	button_press	n/a
41495	0	20	cross/white	n/a
41862	0	20	cross/white	n/a
42230	0	20	cross/white	n/a
42435	0	111	button_press	n/a
42964	0	20	cross/white	n/a
43181	0	111	button_press	n/a
43699	0	200	feedback	n/a
44085	0	20	cross/white	n/a
44452	0	20	cross/white	n/a
44651	0	111	button_press	n/a
45187	0	20	cross/white	n/a
45554	0	20	cross/white	n/a
45753	0	111	button_press	n/a
46289	0	20	cross/white	n/a
46656	0	20	cross/white	n/a
46843	0	111	button_press	n/a
47391	0	20	cross/white	n/a
47758	0	20	cross/white	n/a
47933	0	111	button_press	n/a
48493	0	20	cross/white	n/a
48860	0	20	cross/white	n/a
49227	0	20	cross/white	n/a
49402	0	111	button_press	n/a
49962	0	20	cross/white	n/a
50329	0	20	cross/white	n/a
50697	0	20	cross/white	n/a
51064	0	20	cross/white	n/a
51257	0	111	button_press	n/a
51799	0	20	cross/white	n/a
52010	0	111	button_press	n/a
52545	0	20	cross/white	n/a
52913	0	20	cross/white	n/a
53124	0	111	button_press	n/a
53647	0	20	cross/white	n/a
54015	0	20	cross/white	n/a
54196	0	111	button_press	n/a
54749	0	20	cross/white	n/a
55117	0	200	feedback	n/a
56152	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
56255	0	20	cross/white	n/a
56779	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
56899	0	20	cross/white	n/a
57441	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
57561	0	20	cross/white	n/a
58079	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
58176	0	20	cross/white	n/a
58663	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
58748	0	20	cross/white	n/a
59272	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
59404	0	20	cross/white	n/a
59958	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
60073	0	20	cross/white	n/a
60596	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
60705	0	20	cross/white	n/a
61241	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
61367	0	20	cross/white	n/a
61921	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
62042	0	20	cross/white	n/a
62548	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
62632	0	20	cross/white	n/a
63102	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
63186	0	20	cross/white	n/a
63680	0	35	red/happy/standard/5	SHINEd_025_y_m_h_b.jpg
63782	0	20	cross/white	n/a
63855	0	111	button_press	n/a
64270	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
64354	0	20	cross/white	n/a
64866	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
64986	0	20	cross/white	n/a
65516	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
65619	0	20	cross/white	n/a
66131	0	13	red/angry/standard/3	SHINEd_008_y_m_a_b.jpg
66239	0	20	cross/white	n/a
66305	0	111	button_press	n/a
66733	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
66817	0	20	cross/white	n/a
67305	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
67407	0	20	cross/white	n/a
67925	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
68039	0	20	cross/white	n/a
68539	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
68624	0	20	cross/white	n/a
69111	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
69208	0	20	cross/white	n/a
69720	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
69822	0	20	cross/white	n/a
70310	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
70394	0	20	cross/white	n/a
70888	0	16	red/angry/standard/6	SHINEd_010_y_f_a_a.jpg
70990	0	20	cross/white	n/a
71075	0	111	button_press	n/a
71490	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
71586	0	20	cross/white	n/a
72080	0	32	red/happy/standard/2	SHINEd_037_y_m_h_a.jpg
72176	0	20	cross/white	n/a
72267	0	111	button_press	n/a
72694	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
72809	0	20	cross/white	n/a
73327	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
73429	0	20	cross/white	n/a
73947	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
74061	0	20	cross/white	n/a
74579	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
74682	0	20	cross/white	n/a
75217	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
75350	0	20	cross/white	n/a
75904	0	61	white/neutral/deviant/1	SHINEd_008_y_m_n_b.jpg
76024	0	20	cross/white	n/a
76109	0	111	button_press	n/a
76542	0	62	white/neutral/standard/2	SHINEd_008_y_m_n_b.jpg
76639	0	20	cross/white	n/a
77120	0	63	white/neutral/standard/3	SHINEd_008_y_m_n_b.jpg
77205	0	20	cross/white	n/a
77686	0	64	white/neutral/standard/4	SHINEd_008_y_m_n_b.jpg
77783	0	20	cross/white	n/a
78265	0	65	white/neutral/standard/5	SHINEd_008_y_m_n_b.jpg
78349	0	20	cross/white	n/a
78837	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
78939	0	20	cross/white	n/a
79439	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
79523	0	20	cross/white	n/a
80011	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
80113	0	20	cross/white	n/a
80619	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
80721	0	20	cross/white	n/a
81209	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
81294	0	20	cross/white	n/a
81793	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
81908	0	20	cross/white	n/a
82450	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
82576	0	20	cross/white	n/a
83100	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
83196	0	20	cross/white	n/a
83708	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
83823	0	20	cross/white	n/a
84347	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
84449	0	20	cross/white	n/a
84937	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
85021	0	20	cross/white	n/a
85533	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
85659	0	20	cross/white	n/a
86201	0	15	red/angry/standard/5	SHINEd_010_y_f_a_a.jpg
86316	0	20	cross/white	n/a
86382	0	111	button_press	n/a
86828	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
86924	0	20	cross/white	n/a
87436	0	27	white/angry/standard/7	SHINEd_010_y_f_a_a.jpg
87550	0	20	cross/white	n/a
88080	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
88195	0	20	cross/white	n/a
88743	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
88869	0	20	cross/white	n/a
89399	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
89501	0	20	cross/white	n/a
89995	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
90085	0	20	cross/white	n/a
90567	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
90657	0	20	cross/white	n/a
91181	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
91314	0	20	cross/white	n/a
91874	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
92000	0	20	cross/white	n/a
92512	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
92597	0	20	cross/white	n/a
93066	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
93151	0	20	cross/white	n/a
93650	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
93765	0	20	cross/white	n/a
94271	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
94355	0	20	cross/white	n/a
94849	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
94957	0	20	cross/white	n/a
95481	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
95595	0	20	cross/white	n/a
96125	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
96240	0	20	cross/white	n/a
96764	0	35	red/happy/standard/5	SHINEd_025_y_m_h_b.jpg
96872	0	20	cross/white	n/a
96957	0	111	button_press	n/a
97378	0	36	red/happy/standard/6	SHINEd_028_y_f_h_a.jpg
97468	0	20	cross/white	n/a
97613	0	111	button_press	n/a
97974	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
98088	0	20	cross/white	n/a
98594	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
98685	0	20	cross/white	n/a
99190	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
99305	0	20	cross/white	n/a
99811	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
99901	0	20	cross/white	n/a
100407	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
100515	0	20	cross/white	n/a
101039	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
101148	0	20	cross/white	n/a
101660	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
