onset	duration	value	event	stim_file
30063	0	254	254	n/a
43407	0	20	cross/white	n/a
43774	0	20	cross/white	n/a
44142	0	20	cross/white	n/a
44509	0	20	cross/white	n/a
44786	0	111	button_press	n/a
45244	0	20	cross/white	n/a
45611	0	20	cross/white	n/a
45978	0	20	cross/white	n/a
46171	0	111	button_press	n/a
46713	0	20	cross/white	n/a
47080	0	20	cross/white	n/a
47285	0	111	button_press	n/a
47815	0	20	cross/white	n/a
48020	0	111	button_press	n/a
48550	0	20	cross/white	n/a
48917	0	20	cross/white	n/a
49284	0	20	cross/white	n/a
49652	0	20	cross/white	n/a
49863	0	111	button_press	n/a
50386	0	20	cross/white	n/a
50754	0	20	cross/white	n/a
51121	0	20	cross/white	n/a
51447	0	111	button_press	n/a
51856	0	20	cross/white	n/a
52223	0	20	cross/white	n/a
52422	0	111	button_press	n/a
52958	0	20	cross/white	n/a
53325	0	20	cross/white	n/a
53692	0	20	cross/white	n/a
53879	0	111	button_press	n/a
54463	0	200	feedback	n/a
54812	0	20	cross/white	n/a
55180	0	20	cross/white	n/a
55547	0	20	cross/white	n/a
55764	0	111	button_press	n/a
56282	0	20	cross/white	n/a
56493	0	111	button_press	n/a
57016	0	20	cross/white	n/a
57384	0	20	cross/white	n/a
57559	0	111	button_press	n/a
58118	0	20	cross/white	n/a
58486	0	20	cross/white	n/a
58685	0	111	button_press	n/a
59220	0	20	cross/white	n/a
59588	0	20	cross/white	n/a
59955	0	20	cross/white	n/a
60322	0	20	cross/white	n/a
60527	0	111	button_press	n/a
61057	0	20	cross/white	n/a
61424	0	20	cross/white	n/a
61617	0	111	button_press	n/a
62159	0	20	cross/white	n/a
62526	0	20	cross/white	n/a
62894	0	20	cross/white	n/a
63087	0	111	button_press	n/a
63628	0	20	cross/white	n/a
63996	0	20	cross/white	n/a
64363	0	20	cross/white	n/a
64562	0	111	button_press	n/a
65098	0	20	cross/white	n/a
65465	0	20	cross/white	n/a
65706	0	111	button_press	n/a
65832	111	200	feedback	n/a
66218	0	20	cross/white	n/a
66585	0	20	cross/white	n/a
66952	0	20	cross/white	n/a
67320	0	20	cross/white	n/a
67519	0	111	button_press	n/a
68054	0	20	cross/white	n/a
68422	0	20	cross/white	n/a
68789	0	20	cross/white	n/a
69006	0	111	button_press	n/a
69524	0	20	cross/white	n/a
69891	0	20	cross/white	n/a
70258	0	20	cross/white	n/a
70439	0	111	button_press	n/a
70993	0	20	cross/white	n/a
71228	0	111	button_press	n/a
71728	0	20	cross/white	n/a
71927	0	111	button_press	n/a
72462	0	20	cross/white	n/a
72830	0	20	cross/white	n/a
73197	0	20	cross/white	n/a
73564	0	20	cross/white	n/a
73775	0	111	button_press	n/a
74209	0	111	button_press	n/a
74666	0	20	cross/white	n/a
75034	0	20	cross/white	n/a
75239	0	111	button_press	n/a
75768	0	20	cross/white	n/a
76136	0	20	cross/white	n/a
76503	0	20	cross/white	n/a
76708	0	111	button_press	n/a
77238	0	200	feedback	n/a
78249	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
78352	0	20	cross/white	n/a
78876	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
78996	0	20	cross/white	n/a
79508	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
79598	0	20	cross/white	n/a
80116	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
80243	0	20	cross/white	n/a
80779	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
80893	0	20	cross/white	n/a
81399	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
81489	0	20	cross/white	n/a
81971	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
82061	0	20	cross/white	n/a
82591	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
82724	0	20	cross/white	n/a
83248	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
83344	0	20	cross/white	n/a
83868	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
83994	0	20	cross/white	n/a
84554	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
84687	0	20	cross/white	n/a
85253	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
85385	0	20	cross/white	n/a
85897	0	35	red/happy/standard/5	SHINEd_025_y_m_h_b.jpg
85981	0	20	cross/white	n/a
86168	0	111	button_press	n/a
86481	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
86602	0	20	cross/white	n/a
87120	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
87216	0	20	cross/white	n/a
87740	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
87860	0	20	cross/white	n/a
88396	0	13	red/angry/standard/3	SHINEd_008_y_m_a_b.jpg
88517	0	20	cross/white	n/a
88613	0	111	button_press	n/a
89029	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
89119	0	20	cross/white	n/a
89625	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
89739	0	20	cross/white	n/a
90251	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
90341	0	20	cross/white	n/a
90847	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
90962	0	20	cross/white	n/a
91497	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
91618	0	20	cross/white	n/a
92130	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
92226	0	20	cross/white	n/a
92726	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
92834	0	20	cross/white	n/a
93382	0	16	red/angry/standard/6	SHINEd_010_y_f_a_a.jpg
93515	0	20	cross/white	n/a
93599	0	111	button_press	n/a
94057	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
94171	0	20	cross/white	n/a
94665	0	32	red/happy/standard/2	SHINEd_037_y_m_h_a.jpg
94749	0	20	cross/white	n/a
95237	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
95345	0	20	cross/white	n/a
