onset	duration	value	event	stim_file
3964	0	20	cross/white	n/a
4331	0	20	cross/white	n/a
4698	0	20	cross/white	n/a
4891	0	111	button_press	n/a
5271	0	111	button_press	n/a
5800	0	20	cross/white	n/a
6168	0	20	cross/white	n/a
6535	0	20	cross/white	n/a
6902	0	20	cross/white	n/a
7095	0	111	button_press	n/a
7637	0	20	cross/white	n/a
8004	0	20	cross/white	n/a
8203	0	111	button_press	n/a
8739	0	20	cross/white	n/a
8944	0	111	button_press	n/a
9474	0	20	cross/white	n/a
9667	0	111	button_press	n/a
10208	0	20	cross/white	n/a
10576	0	20	cross/white	n/a
10769	0	111	button_press	n/a
11310	0	20	cross/white	n/a
11678	0	20	cross/white	n/a
12045	0	20	cross/white	n/a
12244	0	111	button_press	n/a
12780	0	20	cross/white	n/a
13147	0	20	cross/white	n/a
13514	0	20	cross/white	n/a
13701	0	111	button_press	n/a
14249	0	20	cross/white	n/a
14484	0	111	button_press	n/a
15080	0	200	feedback	n/a
15369	0	20	cross/white	n/a
15737	0	20	cross/white	n/a
16104	0	20	cross/white	n/a
16309	0	111	button_press	n/a
16682	0	111	button_press	n/a
17206	0	20	cross/white	n/a
17573	0	20	cross/white	n/a
17850	0	111	button_press	n/a
18308	0	20	cross/white	n/a
18567	0	111	button_press	n/a
19043	0	20	cross/white	n/a
19248	0	111	button_press	n/a
19777	0	20	cross/white	n/a
19964	0	111	button_press	n/a
20512	0	20	cross/white	n/a
20879	0	20	cross/white	n/a
21078	0	111	button_press	n/a
21614	0	20	cross/white	n/a
21981	0	20	cross/white	n/a
22349	0	20	cross/white	n/a
22716	0	20	cross/white	n/a
22909	0	111	button_press	n/a
23450	0	20	cross/white	n/a
23650	0	111	button_press	n/a
24185	0	20	cross/white	n/a
24552	0	20	cross/white	n/a
24764	0	111	button_press	n/a
25287	0	20	cross/white	n/a
25654	0	20	cross/white	n/a
26022	0	20	cross/white	n/a
26215	0	111	button_press	n/a
26389	111	200	feedback	n/a
26775	0	20	cross/white	n/a
27142	0	20	cross/white	n/a
27509	0	20	cross/white	n/a
27877	0	20	cross/white	n/a
28244	0	20	cross/white	n/a
28455	0	111	button_press	n/a
28979	0	20	cross/white	n/a
29184	0	111	button_press	n/a
29713	0	20	cross/white	n/a
30081	0	20	cross/white	n/a
30292	0	111	button_press	n/a
30815	0	20	cross/white	n/a
31183	0	20	cross/white	n/a
31550	0	20	cross/white	n/a
31917	0	20	cross/white	n/a
32116	0	111	button_press	n/a
32538	0	111	button_press	n/a
33019	0	20	cross/white	n/a
33387	0	20	cross/white	n/a
33754	0	20	cross/white	n/a
33953	0	111	button_press	n/a
34489	0	20	cross/white	n/a
34856	0	20	cross/white	n/a
35223	0	20	cross/white	n/a
35434	0	111	button_press	n/a
35958	0	20	cross/white	n/a
36325	0	20	cross/white	n/a
36536	0	111	button_press	n/a
37060	0	20	cross/white	n/a
37265	0	111	button_press	n/a
37795	0	200	feedback	n/a
38812	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
38897	0	20	cross/white	n/a
39402	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
39511	0	20	cross/white	n/a
40023	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
40125	0	20	cross/white	n/a
40619	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
40709	0	20	cross/white	n/a
41209	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
41305	0	20	cross/white	n/a
41787	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
41871	0	20	cross/white	n/a
42347	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
42437	0	20	cross/white	n/a
42949	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
43076	0	20	cross/white	n/a
43636	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
43762	0	20	cross/white	n/a
44316	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
44449	0	20	cross/white	n/a
44967	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
45057	0	20	cross/white	n/a
45539	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
45629	0	20	cross/white	n/a
46153	0	35	red/happy/standard/5	SHINEd_025_y_m_h_b.jpg
46285	0	20	cross/white	n/a
46719	0	111	button_press	n/a
46954	0	20	cross/white	n/a
47484	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
47592	0	20	cross/white	n/a
48098	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
48200	0	20	cross/white	n/a
48682	0	13	red/angry/standard/3	SHINEd_008_y_m_a_b.jpg
48766	0	20	cross/white	n/a
48857	0	111	button_press	n/a
49254	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
49350	0	20	cross/white	n/a
49862	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
49983	0	20	cross/white	n/a
50489	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
50573	0	20	cross/white	n/a
51049	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
51145	0	20	cross/white	n/a
51639	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
51741	0	20	cross/white	n/a
52253	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
52361	0	20	cross/white	n/a
52891	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
53012	0	20	cross/white	n/a
53566	0	16	red/angry/standard/6	SHINEd_010_y_f_a_a.jpg
53698	0	20	cross/white	n/a
53759	0	111	button_press	n/a
54240	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
54349	0	20	cross/white	n/a
54842	0	32	red/happy/standard/2	SHINEd_037_y_m_h_a.jpg
54933	0	20	cross/white	n/a
55156	0	111	button_press	n/a
55469	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
55595	0	20	cross/white	n/a
56137	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
56252	0	20	cross/white	n/a
56757	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
56854	0	20	cross/white	n/a
57341	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
57438	0	20	cross/white	n/a
57926	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
58022	0	20	cross/white	n/a
58558	0	61	white/neutral/deviant/1	SHINEd_008_y_m_n_b.jpg
58684	0	20	cross/white	n/a
59202	0	62	white/neutral/standard/2	SHINEd_008_y_m_n_b.jpg
59299	0	20	cross/white	n/a
59793	0	63	white/neutral/standard/3	SHINEd_008_y_m_n_b.jpg
59895	0	20	cross/white	n/a
60401	0	64	white/neutral/standard/4	SHINEd_008_y_m_n_b.jpg
60503	0	20	cross/white	n/a
60985	0	65	white/neutral/standard/5	SHINEd_008_y_m_n_b.jpg
61069	0	20	cross/white	n/a
61557	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
61647	0	20	cross/white	n/a
62165	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
62291	0	20	cross/white	n/a
62809	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
62900	0	20	cross/white	n/a
63387	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
63484	0	20	cross/white	n/a
63959	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
64044	0	20	cross/white	n/a
64519	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
64610	0	20	cross/white	n/a
65134	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
65260	0	20	cross/white	n/a
65802	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
65923	0	20	cross/white	n/a
66471	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
66597	0	20	cross/white	n/a
67109	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
67193	0	20	cross/white	n/a
67687	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
67789	0	20	cross/white	n/a
68289	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
68392	0	20	cross/white	n/a
68892	0	15	red/angry/standard/5	SHINEd_010_y_f_a_a.jpg
68994	0	20	cross/white	n/a
69072	0	111	button_press	n/a
