onset	duration	value	event	stim_file
2539	0	20	cross/white	n/a
2906	0	20	cross/white	n/a
3274	0	20	cross/white	n/a
3293	20	111	button_press	n/a
3641	0	20	cross/white	n/a
4008	0	20	cross/white	n/a
4376	0	20	cross/white	n/a
4743	0	20	cross/white	n/a
4882	0	111	button_press	n/a
5478	0	20	cross/white	n/a
5845	0	20	cross/white	n/a
5966	0	111	button_press	n/a
6212	0	20	cross/white	n/a
6580	0	20	cross/white	n/a
6947	0	20	cross/white	n/a
7248	0	111	button_press	n/a
7682	0	20	cross/white	n/a
8049	0	20	cross/white	n/a
8375	0	111	button_press	n/a
8784	0	20	cross/white	n/a
9151	0	20	cross/white	n/a
9518	0	20	cross/white	n/a
9886	0	20	cross/white	n/a
10181	0	111	button_press	n/a
10620	0	20	cross/white	n/a
10651	0	111	button_press	n/a
10988	0	20	cross/white	n/a
11355	0	20	cross/white	n/a
11681	0	111	button_press	n/a
12090	0	20	cross/white	n/a
12457	0	20	cross/white	n/a
12795	0	111	button_press	n/a
13192	0	20	cross/white	n/a
13655	0	200	feedback	n/a
13944	0	20	cross/white	n/a
14312	0	20	cross/white	n/a
14679	0	20	cross/white	n/a
14993	0	111	button_press	n/a
15414	0	20	cross/white	n/a
15703	0	111	button_press	n/a
16148	0	20	cross/white	n/a
16516	0	20	cross/white	n/a
16883	0	20	cross/white	n/a
17160	0	111	button_press	n/a
17618	0	20	cross/white	n/a
17985	0	20	cross/white	n/a
18311	0	111	button_press	n/a
18720	0	20	cross/white	n/a
19021	0	111	button_press	n/a
19454	0	20	cross/white	n/a
19822	0	20	cross/white	n/a
20189	0	20	cross/white	n/a
20466	0	111	button_press	n/a
20924	0	20	cross/white	n/a
21219	0	111	button_press	n/a
21658	0	20	cross/white	n/a
21978	0	111	button_press	n/a
22393	0	20	cross/white	n/a
22760	0	20	cross/white	n/a
23128	0	20	cross/white	n/a
23375	0	111	button_press	n/a
23862	0	20	cross/white	n/a
24230	0	20	cross/white	n/a
24597	0	20	cross/white	n/a
24868	0	111	button_press	n/a
24964	111	200	feedback	n/a
25350	0	20	cross/white	n/a
25717	0	20	cross/white	n/a
26067	0	111	button_press	n/a
26452	0	20	cross/white	n/a
26819	0	20	cross/white	n/a
27186	0	20	cross/white	n/a
27434	0	111	button_press	n/a
27921	0	20	cross/white	n/a
28288	0	20	cross/white	n/a
28542	0	111	button_press	n/a
28993	0	111	button_press	n/a
29390	0	20	cross/white	n/a
29758	0	20	cross/white	n/a
30125	0	20	cross/white	n/a
30492	0	20	cross/white	n/a
30740	0	111	button_press	n/a
31227	0	20	cross/white	n/a
31594	0	20	cross/white	n/a
31866	0	111	button_press	n/a
32329	0	20	cross/white	n/a
32696	0	20	cross/white	n/a
32950	0	111	button_press	n/a
33443	0	20	cross/white	n/a
33811	0	20	cross/white	n/a
34088	0	111	button_press	n/a
34515	0	111	button_press	n/a
34913	0	20	cross/white	n/a
35280	0	20	cross/white	n/a
35647	0	20	cross/white	n/a
36015	0	20	cross/white	n/a
36262	0	111	button_press	n/a
36382	111	200	feedback	n/a
37418	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
37526	0	20	cross/white	n/a
38062	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
38176	0	20	cross/white	n/a
38676	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
38761	0	20	cross/white	n/a
39266	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
39387	0	20	cross/white	n/a
39917	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
40025	0	20	cross/white	n/a
40549	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
40657	0	20	cross/white	n/a
41169	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
41272	0	20	cross/white	n/a
41771	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
41874	0	20	cross/white	n/a
42362	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
42446	0	20	cross/white	n/a
42934	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
43036	0	20	cross/white	n/a
43524	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
43608	0	20	cross/white	n/a
44084	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
44174	0	20	cross/white	n/a
44662	0	35	red/happy/standard/5	SHINEd_025_y_m_h_b.jpg
44752	0	20	cross/white	n/a
44963	0	111	button_press	n/a
45246	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
45354	0	20	cross/white	n/a
45884	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
45999	0	20	cross/white	n/a
46493	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
46577	0	20	cross/white	n/a
47083	0	13	red/angry/standard/3	SHINEd_008_y_m_a_b.jpg
47203	0	20	cross/white	n/a
47348	0	111	button_press	n/a
47751	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
47872	0	20	cross/white	n/a
48414	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
48540	0	20	cross/white	n/a
49094	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
49220	0	20	cross/white	n/a
49762	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
49871	0	20	cross/white	n/a
50365	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
50449	0	20	cross/white	n/a
50955	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
51081	0	20	cross/white	n/a
51623	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
51726	0	20	cross/white	n/a
52274	0	16	red/angry/standard/6	SHINEd_010_y_f_a_a.jpg
52406	0	20	cross/white	n/a
52575	0	111	button_press	n/a
52942	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
53026	0	20	cross/white	n/a
