onset	duration	value	event	stim_file
4960	0	20	cross/white	n/a
5328	0	20	cross/white	n/a
5376	0	111	button_press	n/a
5695	0	20	cross/white	n/a
6062	0	20	cross/white	n/a
6430	0	20	cross/white	n/a
6641	0	111	button_press	n/a
7164	0	20	cross/white	n/a
7532	0	20	cross/white	n/a
7718	0	111	button_press	n/a
8266	0	20	cross/white	n/a
8453	0	111	button_press	n/a
9001	0	20	cross/white	n/a
9368	0	20	cross/white	n/a
9549	0	111	button_press	n/a
10103	0	20	cross/white	n/a
10470	0	20	cross/white	n/a
10838	0	20	cross/white	n/a
11205	0	20	cross/white	n/a
11410	0	111	button_press	n/a
11940	0	20	cross/white	n/a
12163	0	111	button_press	n/a
12674	0	20	cross/white	n/a
13042	0	20	cross/white	n/a
13210	0	111	button_press	n/a
13776	0	20	cross/white	n/a
13957	0	111	button_press	n/a
14511	0	20	cross/white	n/a
14878	0	20	cross/white	n/a
15246	0	20	cross/white	n/a
15420	0	111	button_press	n/a
16083	0	200	feedback	n/a
16366	0	20	cross/white	n/a
16733	0	20	cross/white	n/a
17100	0	20	cross/white	n/a
17468	0	20	cross/white	n/a
17769	0	111	button_press	n/a
18052	0	111	button_press	n/a
18570	0	20	cross/white	n/a
18937	0	20	cross/white	n/a
19304	0	20	cross/white	n/a
19479	0	111	button_press	n/a
20039	0	20	cross/white	n/a
20406	0	20	cross/white	n/a
20581	0	111	button_press	n/a
21015	0	111	button_press	n/a
21508	0	20	cross/white	n/a
21876	0	20	cross/white	n/a
22243	0	20	cross/white	n/a
22610	0	20	cross/white	n/a
22797	0	111	button_press	n/a
23345	0	20	cross/white	n/a
23712	0	20	cross/white	n/a
23881	0	111	button_press	n/a
24447	0	20	cross/white	n/a
24814	0	20	cross/white	n/a
24983	0	111	button_press	n/a
25549	0	20	cross/white	n/a
25916	0	20	cross/white	n/a
26085	0	111	button_press	n/a
26651	0	20	cross/white	n/a
26856	0	111	button_press	n/a
27386	0	200	feedback	n/a
28138	0	20	cross/white	n/a
28506	0	20	cross/white	n/a
28686	0	111	button_press	n/a
29240	0	20	cross/white	n/a
29608	0	20	cross/white	n/a
29771	0	111	button_press	n/a
30342	0	20	cross/white	n/a
30710	0	20	cross/white	n/a
30885	0	111	button_press	n/a
31444	0	20	cross/white	n/a
31649	0	111	button_press	n/a
32179	0	20	cross/white	n/a
32348	0	111	button_press	n/a
32914	0	20	cross/white	n/a
33089	0	111	button_press	n/a
33648	0	20	cross/white	n/a
34016	0	20	cross/white	n/a
34209	0	111	button_press	n/a
34684	0	111	button_press	n/a
35118	0	20	cross/white	n/a
35485	0	20	cross/white	n/a
35852	0	20	cross/white	n/a
36033	0	111	button_press	n/a
36587	0	20	cross/white	n/a
36780	0	111	button_press	n/a
37322	0	20	cross/white	n/a
37689	0	20	cross/white	n/a
38056	0	20	cross/white	n/a
38424	0	20	cross/white	n/a
38605	0	111	button_press	n/a
38791	111	200	feedback	n/a
39822	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
39923	0	20	cross/white	n/a
40411	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
40495	0	20	cross/white	n/a
40531	0	111	button_press	n/a
40971	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
41061	0	20	cross/white	n/a
41086	0	111	button_press	n/a
41579	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
41706	0	20	cross/white	n/a
