onset	duration	value	event	stim_file
2626	0	20	cross/white	n/a
2994	0	20	cross/white	n/a
3361	0	20	cross/white	n/a
3728	0	20	cross/white	n/a
4096	0	20	cross/white	n/a
4337	0	111	button_press	n/a
4830	0	20	cross/white	n/a
5198	0	20	cross/white	n/a
5409	0	111	button_press	n/a
5932	0	20	cross/white	n/a
6300	0	20	cross/white	n/a
6667	0	20	cross/white	n/a
6842	0	111	button_press	n/a
7324	0	111	button_press	n/a
7769	0	20	cross/white	n/a
8136	0	20	cross/white	n/a
8504	0	20	cross/white	n/a
8685	0	111	button_press	n/a
9238	0	20	cross/white	n/a
9606	0	20	cross/white	n/a
9811	0	111	button_press	n/a
10340	0	20	cross/white	n/a
10551	0	111	button_press	n/a
11075	0	20	cross/white	n/a
11442	0	20	cross/white	n/a
11647	0	111	button_press	n/a
12177	0	20	cross/white	n/a
12544	0	20	cross/white	n/a
12912	0	20	cross/white	n/a
13279	0	20	cross/white	n/a
13466	0	111	button_press	n/a
13743	0	200	feedback	n/a
14032	0	20	cross/white	n/a
14399	0	20	cross/white	n/a
14465	0	111	button_press	n/a
14766	0	20	cross/white	n/a
15134	0	20	cross/white	n/a
15501	0	20	cross/white	n/a
15868	0	20	cross/white	n/a
16079	0	111	button_press	n/a
16603	0	20	cross/white	n/a
16970	0	20	cross/white	n/a
17169	0	111	button_press	n/a
17585	0	111	button_press	n/a
18072	0	20	cross/white	n/a
18440	0	20	cross/white	n/a
18807	0	20	cross/white	n/a
19174	0	20	cross/white	n/a
19385	0	111	button_press	n/a
19813	0	111	button_press	n/a
20276	0	20	cross/white	n/a
20644	0	20	cross/white	n/a
21011	0	20	cross/white	n/a
21378	0	20	cross/white	n/a
21583	0	111	button_press	n/a
21981	0	111	button_press	n/a
22480	0	20	cross/white	n/a
22848	0	20	cross/white	n/a
23053	0	111	button_press	n/a
23239	20	111	button_press	n/a
23582	0	20	cross/white	n/a
23950	0	20	cross/white	n/a
24161	0	111	button_press	n/a
24684	0	20	cross/white	n/a
25052	0	200	feedback	n/a
25437	0	20	cross/white	n/a
25804	0	20	cross/white	n/a
26172	0	20	cross/white	n/a
26389	0	111	button_press	n/a
26786	0	111	button_press	n/a
27274	0	20	cross/white	n/a
27641	0	20	cross/white	n/a
27852	0	111	button_press	n/a
28376	0	20	cross/white	n/a
28743	0	20	cross/white	n/a
28930	0	111	button_press	n/a
29478	0	20	cross/white	n/a
29845	0	20	cross/white	n/a
30212	0	20	cross/white	n/a
30580	0	20	cross/white	n/a
30779	0	111	button_press	n/a
31314	0	20	cross/white	n/a
31682	0	20	cross/white	n/a
31893	0	111	button_press	n/a
32278	0	111	button_press	n/a
32784	0	20	cross/white	n/a
33151	0	20	cross/white	n/a
33380	0	111	button_press	n/a
33886	0	20	cross/white	n/a
