onset	duration	value	event	stim_file
3882	0	20	cross/white	n/a
4250	0	20	cross/white	n/a
4617	0	20	cross/white	n/a
4984	0	20	cross/white	n/a
5352	0	20	cross/white	n/a
5719	0	20	cross/white	n/a
6051	0	111	button_press	n/a
6454	0	20	cross/white	n/a
6821	0	20	cross/white	n/a
7188	0	20	cross/white	n/a
7556	0	20	cross/white	n/a
7797	0	111	button_press	n/a
8290	0	20	cross/white	n/a
8658	0	20	cross/white	n/a
8947	0	111	button_press	n/a
9392	0	20	cross/white	n/a
9760	0	20	cross/white	n/a
9959	0	111	button_press	n/a
10494	0	20	cross/white	n/a
10718	0	111	button_press	n/a
11229	0	20	cross/white	n/a
11596	0	20	cross/white	n/a
11778	0	111	button_press	n/a
12331	0	20	cross/white	n/a
12698	0	20	cross/white	n/a
13066	0	20	cross/white	n/a
13433	0	20	cross/white	n/a
13608	0	111	button_press	n/a
14132	0	111	button_press	n/a
14535	0	20	cross/white	n/a
14987	0	200	feedback	n/a
15288	0	20	cross/white	n/a
15655	0	20	cross/white	n/a
16022	0	20	cross/white	n/a
16390	0	20	cross/white	n/a
16757	0	20	cross/white	n/a
17125	0	20	cross/white	n/a
17311	0	111	button_press	n/a
17673	0	111	button_press	n/a
18226	0	20	cross/white	n/a
18594	0	20	cross/white	n/a
18799	0	111	button_press	n/a
19329	0	20	cross/white	n/a
19696	0	20	cross/white	n/a
20063	0	20	cross/white	n/a
20256	0	111	button_press	n/a
20798	0	20	cross/white	n/a
21165	0	20	cross/white	n/a
21370	0	111	button_press	n/a
21900	0	20	cross/white	n/a
22159	0	111	button_press	n/a
22316	0	111	button_press	n/a
22634	0	20	cross/white	n/a
23002	0	20	cross/white	n/a
23231	0	111	button_press	n/a
23736	0	20	cross/white	n/a
24104	0	20	cross/white	n/a
24297	0	111	button_press	n/a
24838	0	20	cross/white	n/a
25206	0	20	cross/white	n/a
25573	0	20	cross/white	n/a
25760	0	111	button_press	n/a
26308	0	200	feedback	n/a
26693	0	20	cross/white	n/a
27061	0	20	cross/white	n/a
27428	0	20	cross/white	n/a
27795	0	20	cross/white	n/a
28163	0	20	cross/white	n/a
28542	0	20	cross/white	n/a
28867	0	111	button_press	n/a
29162	0	111	button_press	n/a
29644	0	20	cross/white	n/a
30011	0	20	cross/white	n/a
30379	0	20	cross/white	n/a
30584	0	111	button_press	n/a
31113	0	20	cross/white	n/a
31481	0	20	cross/white	n/a
31680	0	111	button_press	n/a
32215	0	20	cross/white	n/a
32402	0	111	button_press	n/a
32950	0	20	cross/white	n/a
33317	0	20	cross/white	n/a
33685	0	20	cross/white	n/a
33866	0	111	button_press	n/a
34419	0	20	cross/white	n/a
34787	0	20	cross/white	n/a
35154	0	20	cross/white	n/a
35365	0	111	button_press	n/a
35889	0	20	cross/white	n/a
36256	0	20	cross/white	n/a
