onset	duration	value	event	stim_file
16576	0	20	cross/white	n/a
16943	0	20	cross/white	n/a
17310	0	20	cross/white	n/a
17678	0	20	cross/white	n/a
18045	0	20	cross/white	n/a
18274	0	111	button_press	n/a
18780	0	20	cross/white	n/a
18973	0	111	button_press	n/a
19514	0	20	cross/white	n/a
19882	0	20	cross/white	n/a
20081	0	111	button_press	n/a
20616	0	20	cross/white	n/a
20984	0	20	cross/white	n/a
21351	0	20	cross/white	n/a
21550	0	111	button_press	n/a
22086	0	20	cross/white	n/a
22321	0	111	button_press	n/a
22820	0	20	cross/white	n/a
23188	0	20	cross/white	n/a
23555	0	20	cross/white	n/a
23760	0	111	button_press	n/a
24290	0	20	cross/white	n/a
24531	0	111	button_press	n/a
25024	0	20	cross/white	n/a
25392	0	20	cross/white	n/a
25759	0	20	cross/white	n/a
26126	0	20	cross/white	n/a
26319	0	111	button_press	n/a
26861	0	20	cross/white	n/a
27228	0	20	cross/white	n/a
27451	0	111	button_press	n/a
27692	0	200	feedback	n/a
27981	0	20	cross/white	n/a
28348	0	20	cross/white	n/a
28716	0	20	cross/white	n/a
28945	0	111	button_press	n/a
29450	0	20	cross/white	n/a
29679	0	111	button_press	n/a
30185	0	20	cross/white	n/a
30552	0	20	cross/white	n/a
30920	0	20	cross/white	n/a
31137	0	111	button_press	n/a
31636	0	111	button_press	n/a
32022	0	20	cross/white	n/a
32389	0	20	cross/white	n/a
32756	0	20	cross/white	n/a
33124	0	20	cross/white	n/a
33317	0	111	button_press	n/a
33858	0	20	cross/white	n/a
34226	0	20	cross/white	n/a
34431	0	111	button_press	n/a
34912	0	111	button_press	n/a
35328	0	20	cross/white	n/a
35695	0	20	cross/white	n/a
36062	0	20	cross/white	n/a
36297	0	111	button_press	n/a
36797	0	20	cross/white	n/a
37008	0	111	button_press	n/a
37532	0	20	cross/white	n/a
37899	0	20	cross/white	n/a
38266	0	20	cross/white	n/a
38489	0	111	button_press	n/a
39001	0	200	feedback	n/a
39386	0	20	cross/white	n/a
39754	0	20	cross/white	n/a
40121	0	20	cross/white	n/a
40332	0	111	button_press	n/a
40856	0	20	cross/white	n/a
41067	0	111	button_press	n/a
41590	0	20	cross/white	n/a
41807	0	111	button_press	n/a
42325	0	20	cross/white	n/a
42692	0	20	cross/white	n/a
43060	0	20	cross/white	n/a
43265	0	111	button_press	n/a
43794	0	20	cross/white	n/a
44162	0	20	cross/white	n/a
44391	0	111	button_press	n/a
44896	0	20	cross/white	n/a
45264	0	20	cross/white	n/a
45631	0	20	cross/white	n/a
45836	0	111	button_press	n/a
46366	0	20	cross/white	n/a
46733	0	20	cross/white	n/a
46920	0	111	button_press	n/a
47378	0	111	button_press	n/a
47835	0	20	cross/white	n/a
48202	0	20	cross/white	n/a
48570	0	20	cross/white	n/a
48811	0	111	button_press	n/a
49304	0	20	cross/white	n/a
49672	0	20	cross/white	n/a
49913	0	111	button_press	n/a
50406	0	200	feedback	n/a
51442	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
51562	0	20	cross/white	n/a
51719	0	111	button_press	n/a
52110	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
52231	0	20	cross/white	n/a
52460	0	111	button_press	n/a
52749	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
52851	0	20	cross/white	n/a
53345	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
53435	0	20	cross/white	n/a
53953	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
54081	0	111	button_press	n/a
54603	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
54700	0	20	cross/white	n/a
55218	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
55326	0	20	cross/white	n/a
55844	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
55952	0	20	cross/white	n/a
56482	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
56603	0	20	cross/white	n/a
57139	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
57253	0	20	cross/white	n/a
57789	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
57916	0	20	cross/white	n/a
58463	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
58590	0	20	cross/white	n/a
59102	0	35	red/happy/standard/5	SHINEd_025_y_m_h_b.jpg
59192	0	20	cross/white	n/a
59698	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
59812	0	20	cross/white	n/a
60318	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
60409	0	20	cross/white	n/a
60890	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
60987	0	20	cross/white	n/a
61505	0	13	red/angry/standard/3	SHINEd_008_y_m_a_b.jpg
61631	0	20	cross/white	n/a
61679	0	111	button_press	n/a
62161	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
62269	0	20	cross/white	n/a
62799	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
62920	0	20	cross/white	n/a
63444	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
63546	0	20	cross/white	n/a
64070	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
64190	0	20	cross/white	n/a
64738	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
64865	0	20	cross/white	n/a
65401	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
65503	0	20	cross/white	n/a
66009	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
66111	0	20	cross/white	n/a
66629	0	16	red/angry/standard/6	SHINEd_010_y_f_a_a.jpg
66750	0	20	cross/white	n/a
66804	0	111	button_press	n/a
67261	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
67352	0	20	cross/white	n/a
67864	0	32	red/happy/standard/2	SHINEd_037_y_m_h_a.jpg
67990	0	20	cross/white	n/a
68075	0	111	button_press	n/a
68526	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
68640	0	20	cross/white	n/a
69171	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
69291	0	20	cross/white	n/a
69803	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
69893	0	20	cross/white	n/a
70375	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
70459	0	20	cross/white	n/a
70965	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
71085	0	20	cross/white	n/a
71621	0	61	white/neutral/deviant/1	SHINEd_008_y_m_n_b.jpg
71736	0	20	cross/white	n/a
72284	0	62	white/neutral/standard/2	SHINEd_008_y_m_n_b.jpg
72416	0	20	cross/white	n/a
72940	0	63	white/neutral/standard/3	SHINEd_008_y_m_n_b.jpg
73036	0	20	cross/white	n/a
73536	0	64	white/neutral/standard/4	SHINEd_008_y_m_n_b.jpg
73633	0	20	cross/white	n/a
74175	0	65	white/neutral/standard/5	SHINEd_008_y_m_n_b.jpg
74295	0	20	cross/white	n/a
74837	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
74951	0	20	cross/white	n/a
75487	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
75614	0	20	cross/white	n/a
76156	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
76270	0	20	cross/white	n/a
76782	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
76878	0	20	cross/white	n/a
77378	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
77487	0	20	cross/white	n/a
78016	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
78137	0	20	cross/white	n/a
78697	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
78829	0	20	cross/white	n/a
79359	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
79456	0	20	cross/white	n/a
79961	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
80058	0	20	cross/white	n/a
80570	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
80690	0	20	cross/white	n/a
81226	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
81340	0	20	cross/white	n/a
81864	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
81973	0	20	cross/white	n/a
82467	0	15	red/angry/standard/5	SHINEd_010_y_f_a_a.jpg
82551	0	20	cross/white	n/a
82690	0	111	button_press	n/a
83033	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
83129	0	20	cross/white	n/a
83617	0	27	white/angry/standard/7	SHINEd_010_y_f_a_a.jpg
83707	0	20	cross/white	n/a
84201	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
84303	0	20	cross/white	n/a
84827	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
84948	0	20	cross/white	n/a
85453	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
85544	0	20	cross/white	n/a
86025	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
86122	0	20	cross/white	n/a
86628	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
86736	0	20	cross/white	n/a
87242	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
87338	0	20	cross/white	n/a
87868	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
88001	0	20	cross/white	n/a
88561	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
88693	0	20	cross/white	n/a
89241	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
89362	0	20	cross/white	n/a
89873	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
89964	0	20	cross/white	n/a
90476	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
90602	0	20	cross/white	n/a
91144	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
91264	0	20	cross/white	n/a
91764	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
91849	0	20	cross/white	n/a
