onset	duration	value	event	stim_file
5711	0	20	cross/white	n/a
6079	0	20	cross/white	n/a
6446	0	20	cross/white	n/a
6813	0	20	cross/white	n/a
7006	0	111	button_press	n/a
7548	0	20	cross/white	n/a
7915	0	20	cross/white	n/a
8283	0	20	cross/white	n/a
8650	0	20	cross/white	n/a
8831	0	111	button_press	n/a
9385	0	20	cross/white	n/a
9614	0	111	button_press	n/a
10119	0	20	cross/white	n/a
10222	0	111	button_press	n/a
10487	0	20	cross/white	n/a
10854	0	20	cross/white	n/a
11221	0	20	cross/white	n/a
11589	0	20	cross/white	n/a
11956	0	20	cross/white	n/a
12323	0	20	cross/white	n/a
12498	0	111	button_press	n/a
13058	0	20	cross/white	n/a
13425	0	20	cross/white	n/a
13612	0	111	button_press	n/a
14160	0	20	cross/white	n/a
14527	0	20	cross/white	n/a
14726	0	111	button_press	n/a
15262	0	20	cross/white	n/a
15629	0	20	cross/white	n/a
15816	0	111	button_press	n/a
16364	0	20	cross/white	n/a
16828	0	200	feedback	n/a
17117	0	20	cross/white	n/a
17484	0	20	cross/white	n/a
17719	0	111	button_press	n/a
18219	0	20	cross/white	n/a
18586	0	20	cross/white	n/a
18953	0	20	cross/white	n/a
19158	0	111	button_press	n/a
19622	0	111	button_press	n/a
20055	0	20	cross/white	n/a
20423	0	20	cross/white	n/a
20634	0	111	button_press	n/a
21157	0	20	cross/white	n/a
21525	0	20	cross/white	n/a
21718	0	111	button_press	n/a
22259	0	20	cross/white	n/a
22627	0	20	cross/white	n/a
22994	0	20	cross/white	n/a
23187	0	111	button_press	n/a
23729	0	20	cross/white	n/a
24096	0	20	cross/white	n/a
24313	0	111	button_press	n/a
24831	0	20	cross/white	n/a
25054	0	111	button_press	n/a
25565	0	20	cross/white	n/a
25933	0	20	cross/white	n/a
26300	0	20	cross/white	n/a
26667	0	20	cross/white	n/a
26891	0	111	button_press	n/a
27402	0	20	cross/white	n/a
27769	0	20	cross/white	n/a
27956	0	111	button_press	n/a
28137	111	200	feedback	n/a
28522	0	20	cross/white	n/a
28889	0	20	cross/white	n/a
29257	0	20	cross/white	n/a
29468	0	111	button_press	n/a
29991	0	20	cross/white	n/a
30172	0	111	button_press	n/a
30726	0	20	cross/white	n/a
31093	0	20	cross/white	n/a
31286	0	111	button_press	n/a
31828	0	20	cross/white	n/a
32009	0	111	button_press	n/a
32563	0	20	cross/white	n/a
32930	0	20	cross/white	n/a
33297	0	20	cross/white	n/a
33502	0	111	button_press	n/a
34032	0	20	cross/white	n/a
34399	0	20	cross/white	n/a
34592	0	111	button_press	n/a
35134	0	20	cross/white	n/a
35501	0	20	cross/white	n/a
35869	0	20	cross/white	n/a
36068	0	111	button_press	n/a
36603	0	20	cross/white	n/a
36808	0	111	button_press	n/a
37338	0	20	cross/white	n/a
37543	0	111	button_press	n/a
38073	0	20	cross/white	n/a
38440	0	20	cross/white	n/a
38807	0	20	cross/white	n/a
39013	0	111	button_press	n/a
39542	0	200	feedback	n/a
40614	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
40734	0	20	cross/white	n/a
41240	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
41325	0	20	cross/white	n/a
41830	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
41939	0	20	cross/white	n/a
42463	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
42577	0	20	cross/white	n/a
43083	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
43173	0	20	cross/white	n/a
43655	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
43745	0	20	cross/white	n/a
