onset	duration	value	event	stim_file
5707	0	20	cross/white	n/a
6075	0	20	cross/white	n/a
6442	0	20	cross/white	n/a
6809	0	20	cross/white	n/a
7045	0	111	button_press	n/a
7544	0	20	cross/white	n/a
7911	0	20	cross/white	n/a
8104	0	111	button_press	n/a
8646	0	20	cross/white	n/a
9013	0	20	cross/white	n/a
9381	0	20	cross/white	n/a
9748	0	20	cross/white	n/a
9977	0	111	button_press	n/a
10483	0	20	cross/white	n/a
10820	0	111	button_press	n/a
11217	0	20	cross/white	n/a
11525	0	111	button_press	n/a
11952	0	20	cross/white	n/a
12319	0	20	cross/white	n/a
12687	0	20	cross/white	n/a
13054	0	20	cross/white	n/a
13265	0	111	button_press	n/a
13789	0	20	cross/white	n/a
14156	0	20	cross/white	n/a
14482	0	111	button_press	n/a
14891	0	20	cross/white	n/a
15258	0	20	cross/white	n/a
15511	0	111	button_press	n/a
15993	0	20	cross/white	n/a
16360	0	20	cross/white	n/a
16704	0	111	button_press	n/a
16770	0	200	feedback	n/a
17113	0	20	cross/white	n/a
17480	0	20	cross/white	n/a
17847	0	20	cross/white	n/a
18215	0	20	cross/white	n/a
18582	0	20	cross/white	n/a
18949	0	20	cross/white	n/a
19161	0	111	button_press	n/a
19642	0	111	button_press	n/a
20051	0	20	cross/white	n/a
20419	0	20	cross/white	n/a
20786	0	20	cross/white	n/a
20991	0	111	button_press	n/a
21521	0	20	cross/white	n/a
21888	0	20	cross/white	n/a
22255	0	20	cross/white	n/a
22515	0	111	button_press	n/a
22990	0	20	cross/white	n/a
23357	0	20	cross/white	n/a
23701	0	111	button_press	n/a
24092	0	20	cross/white	n/a
24459	0	20	cross/white	n/a
24490	0	111	button_press	n/a
24827	0	20	cross/white	n/a
25104	0	111	button_press	n/a
25561	0	20	cross/white	n/a
25929	0	20	cross/white	n/a
26158	0	111	button_press	n/a
26663	0	20	cross/white	n/a
27031	0	20	cross/white	n/a
27398	0	20	cross/white	n/a
27627	0	111	button_press	n/a
28133	0	200	feedback	n/a
28518	0	20	cross/white	n/a
28886	0	20	cross/white	n/a
29253	0	20	cross/white	n/a
29554	0	111	button_press	n/a
29988	0	20	cross/white	n/a
30313	0	111	button_press	n/a
30722	0	20	cross/white	n/a
31090	0	20	cross/white	n/a
31307	0	111	button_press	n/a
31824	0	20	cross/white	n/a
32192	0	20	cross/white	n/a
32559	0	20	cross/white	n/a
32776	0	111	button_press	n/a
33294	0	20	cross/white	n/a
33583	0	111	button_press	n/a
34028	0	20	cross/white	n/a
34396	0	20	cross/white	n/a
34643	0	111	button_press	n/a
35130	0	20	cross/white	n/a
35383	0	111	button_press	n/a
35865	0	20	cross/white	n/a
36232	0	20	cross/white	n/a
36455	0	111	button_press	n/a
36967	0	20	cross/white	n/a
37334	0	20	cross/white	n/a
37563	0	111	button_press	n/a
38069	0	20	cross/white	n/a
38436	0	20	cross/white	n/a
38804	0	20	cross/white	n/a
39171	0	20	cross/white	n/a
39424	0	111	button_press	n/a
39538	111	200	feedback	n/a
40544	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
40628	0	20	cross/white	n/a
41018	0	111	button_press	n/a
41206	0	20	cross/white	n/a
41700	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
41796	0	20	cross/white	n/a
41845	0	111	button_press	n/a
42290	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
42387	0	20	cross/white	n/a
42786	0	111	button_press	n/a
43037	0	20	cross/white	n/a
43284	0	111	button_press	n/a
43573	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
43681	0	20	cross/white	n/a
44187	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
44283	0	20	cross/white	n/a
44440	0	111	button_press	n/a
44765	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
44849	0	20	cross/white	n/a
45331	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
45428	0	20	cross/white	n/a
45500	0	111	button_press	n/a
45921	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
46018	0	20	cross/white	n/a
46505	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
46596	0	20	cross/white	n/a
46644	0	111	button_press	n/a
47090	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
47192	0	20	cross/white	n/a
47433	0	111	button_press	n/a
47686	0	35	red/happy/standard/5	SHINEd_025_y_m_h_b.jpg
47770	0	20	cross/white	n/a
48294	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
48426	0	20	cross/white	n/a
48968	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
49077	0	20	cross/white	n/a
49577	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
49673	0	20	cross/white	n/a
50191	0	13	red/angry/standard/3	SHINEd_008_y_m_a_b.jpg
50311	0	20	cross/white	n/a
50414	0	111	button_press	n/a
50853	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
50980	0	20	cross/white	n/a
51516	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
51630	0	20	cross/white	n/a
52142	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
52238	0	20	cross/white	n/a
52744	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
52852	0	20	cross/white	n/a
53370	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
53479	0	20	cross/white	n/a
53991	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
54093	0	20	cross/white	n/a
54581	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
54671	0	20	cross/white	n/a
55165	0	16	red/angry/standard/6	SHINEd_010_y_f_a_a.jpg
55267	0	20	cross/white	n/a
55382	0	111	button_press	n/a
55761	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
55851	0	20	cross/white	n/a
56339	0	32	red/happy/standard/2	SHINEd_037_y_m_h_a.jpg
56435	0	20	cross/white	n/a
56659	0	111	button_press	n/a
56941	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
57038	0	20	cross/white	n/a
57525	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
57616	0	20	cross/white	n/a
58128	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
58254	0	20	cross/white	n/a
58784	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
58892	0	20	cross/white	n/a
59386	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
59470	0	20	cross/white	n/a
59940	0	61	white/neutral/deviant/1	SHINEd_008_y_m_n_b.jpg
60025	0	20	cross/white	n/a
60512	0	62	white/neutral/standard/2	SHINEd_008_y_m_n_b.jpg
60609	0	20	cross/white	n/a
61102	0	63	white/neutral/standard/3	SHINEd_008_y_m_n_b.jpg
61199	0	20	cross/white	n/a
61681	0	64	white/neutral/standard/4	SHINEd_008_y_m_n_b.jpg
61771	0	20	cross/white	n/a
62247	0	65	white/neutral/standard/5	SHINEd_008_y_m_n_b.jpg
62331	0	20	cross/white	n/a
62837	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
62957	0	20	cross/white	n/a
63469	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
63559	0	20	cross/white	n/a
64053	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
64155	0	20	cross/white	n/a
64691	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
64824	0	20	cross/white	n/a
65366	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
65474	0	20	cross/white	n/a
65974	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
