onset	duration	value	event	stim_file
13757	0	20	cross/white	n/a
14125	0	20	cross/white	n/a
14233	0	111	button_press	n/a
14492	0	20	cross/white	n/a
14859	0	20	cross/white	n/a
15227	0	20	cross/white	n/a
15420	0	111	button_press	n/a
15961	0	20	cross/white	n/a
16179	0	111	button_press	n/a
16696	0	20	cross/white	n/a
17063	0	20	cross/white	n/a
17244	0	111	button_press	n/a
17798	0	20	cross/white	n/a
18165	0	20	cross/white	n/a
18352	0	111	button_press	n/a
18900	0	20	cross/white	n/a
19267	0	20	cross/white	n/a
19635	0	20	cross/white	n/a
19816	0	111	button_press	n/a
20369	0	20	cross/white	n/a
20737	0	20	cross/white	n/a
20930	0	111	button_press	n/a
21471	0	20	cross/white	n/a
21839	0	20	cross/white	n/a
22032	0	111	button_press	n/a
22573	0	20	cross/white	n/a
22941	0	20	cross/white	n/a
23308	0	20	cross/white	n/a
23495	0	111	button_press	n/a
24007	0	111	button_press	n/a
24410	0	20	cross/white	n/a
24868	0	200	feedback	n/a
25530	0	20	cross/white	n/a
25898	0	20	cross/white	n/a
26265	0	20	cross/white	n/a
26632	0	20	cross/white	n/a
26999	0	20	cross/white	n/a
27199	0	111	button_press	n/a
27734	0	20	cross/white	n/a
27753	20	111	button_press	n/a
28102	0	20	cross/white	n/a
28469	0	20	cross/white	n/a
28836	0	20	cross/white	n/a
29017	0	111	button_press	n/a
29571	0	20	cross/white	n/a
29938	0	20	cross/white	n/a
30143	0	111	button_press	n/a
30673	0	20	cross/white	n/a
31040	0	20	cross/white	n/a
31407	0	20	cross/white	n/a
31600	0	111	button_press	n/a
32142	0	20	cross/white	n/a
32509	0	20	cross/white	n/a
32708	0	111	button_press	n/a
33244	0	20	cross/white	n/a
33479	0	111	button_press	n/a
33979	0	20	cross/white	n/a
34346	0	20	cross/white	n/a
34713	0	20	cross/white	n/a
34894	0	111	button_press	n/a
35448	0	20	cross/white	n/a
35815	0	20	cross/white	n/a
36027	0	111	button_press	n/a
36183	111	200	feedback	n/a
36568	0	20	cross/white	n/a
36912	0	111	button_press	n/a
37303	0	20	cross/white	n/a
37670	0	20	cross/white	n/a
38038	0	20	cross/white	n/a
38405	0	20	cross/white	n/a
38592	0	111	button_press	n/a
39140	0	20	cross/white	n/a
39363	0	111	button_press	n/a
39874	0	20	cross/white	n/a
40242	0	20	cross/white	n/a
40609	0	20	cross/white	n/a
40796	0	111	button_press	n/a
41344	0	20	cross/white	n/a
41711	0	20	cross/white	n/a
41910	0	111	button_press	n/a
42446	0	20	cross/white	n/a
42813	0	20	cross/white	n/a
43006	0	111	button_press	n/a
43548	0	20	cross/white	n/a
43915	0	20	cross/white	n/a
44102	0	111	button_press	n/a
44650	0	20	cross/white	n/a
44843	0	111	button_press	n/a
45384	0	20	cross/white	n/a
45601	0	111	button_press	n/a
46119	0	20	cross/white	n/a
46342	0	111	button_press	n/a
46854	0	20	cross/white	n/a
47221	0	20	cross/white	n/a
47588	0	200	feedback	n/a
48642	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
48762	0	20	cross/white	n/a
49280	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
49377	0	20	cross/white	n/a
49883	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
49985	0	20	cross/white	n/a
50515	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
50641	0	20	cross/white	n/a
51195	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
51322	0	20	cross/white	n/a
51834	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
51918	0	20	cross/white	n/a
52388	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
52472	0	20	cross/white	n/a
53002	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
53128	0	20	cross/white	n/a
53646	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
53736	0	20	cross/white	n/a
54242	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
54351	0	20	cross/white	n/a
54845	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
54929	0	20	cross/white	n/a
55447	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
55579	0	20	cross/white	n/a
56139	0	35	red/happy/standard/5	SHINEd_025_y_m_h_b.jpg
56266	0	20	cross/white	n/a
56392	0	111	button_press	n/a
56808	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
56922	0	20	cross/white	n/a
57422	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
57506	0	20	cross/white	n/a
58006	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
58120	0	20	cross/white	n/a
58644	0	13	red/angry/standard/3	SHINEd_008_y_m_a_b.jpg
58753	0	20	cross/white	n/a
59289	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
