onset	duration	value	event	stim_file
19278	0	20	cross/white	n/a
20747	0	20	cross/white	n/a
22217	0	20	cross/white	n/a
22820	0	111	button_press	n/a
23686	0	20	cross/white	n/a
25155	0	20	cross/white	n/a
26625	0	20	cross/white	n/a
27517	0	111	button_press	n/a
28094	0	20	cross/white	n/a
29563	0	20	cross/white	n/a
31033	0	20	cross/white	n/a
31853	0	111	button_press	n/a
32502	0	20	cross/white	n/a
33971	0	20	cross/white	n/a
34912	0	111	button_press	n/a
35441	0	20	cross/white	n/a
36910	0	20	cross/white	n/a
38379	0	20	cross/white	n/a
39368	0	111	button_press	n/a
39849	0	20	cross/white	n/a
41318	0	20	cross/white	n/a
42787	0	20	cross/white	n/a
44257	0	20	cross/white	n/a
45077	0	111	button_press	n/a
45726	0	20	cross/white	n/a
47195	0	20	cross/white	n/a
47919	0	111	button_press	n/a
48665	0	20	cross/white	n/a
50134	0	20	cross/white	n/a
51603	0	20	cross/white	n/a
53073	0	20	cross/white	n/a
53869	0	111	button_press	n/a
54542	0	20	cross/white	n/a
56011	0	20	cross/white	n/a
57481	0	20	cross/white	n/a
58325	0	111	button_press	n/a
58950	0	20	cross/white	n/a
60035	0	111	button_press	n/a
60419	0	20	cross/white	n/a
61888	0	20	cross/white	n/a
63767	0	200	feedback	n/a
64899	0	20	cross/white	n/a
66369	0	20	cross/white	n/a
67838	0	20	cross/white	n/a
68923	0	111	button_press	n/a
69307	0	20	cross/white	n/a
70777	0	20	cross/white	n/a
72246	0	20	cross/white	n/a
73235	0	111	button_press	n/a
73715	0	20	cross/white	n/a
75114	0	111	button_press	n/a
75185	0	20	cross/white	n/a
76654	0	20	cross/white	n/a
78123	0	20	cross/white	n/a
79593	0	20	cross/white	n/a
80606	0	111	button_press	n/a
81062	0	20	cross/white	n/a
82531	0	20	cross/white	n/a
84001	0	20	cross/white	n/a
85470	0	20	cross/white	n/a
86242	0	111	button_press	n/a
86939	0	20	cross/white	n/a
87783	0	111	button_press	n/a
88409	0	20	cross/white	n/a
89878	0	20	cross/white	n/a
91347	0	20	cross/white	n/a
92817	0	20	cross/white	n/a
93565	0	111	button_press	n/a
94286	0	20	cross/white	n/a
95755	0	20	cross/white	n/a
97225	0	20	cross/white	n/a
98694	0	20	cross/white	n/a
99394	0	111	button_press	n/a
100163	0	20	cross/white	n/a
101152	0	111	button_press	n/a
101633	0	20	cross/white	n/a
103102	0	20	cross/white	n/a
104571	0	20	cross/white	n/a
106041	0	20	cross/white	n/a
106957	0	111	button_press	n/a
107510	0	20	cross/white	n/a
108979	0	200	feedback	n/a
110521	0	20	cross/white	n/a
111990	0	20	cross/white	n/a
112907	0	111	button_press	n/a
113460	0	20	cross/white	n/a
114929	0	20	cross/white	n/a
116398	0	20	cross/white	n/a
117868	0	20	cross/white	n/a
118543	0	111	button_press	n/a
119337	0	20	cross/white	n/a
120806	0	20	cross/white	n/a
121626	0	111	button_press	n/a
122276	0	20	cross/white	n/a
123745	0	20	cross/white	n/a
125214	0	20	cross/white	n/a
126684	0	20	cross/white	n/a
127431	0	111	button_press	n/a
128153	0	20	cross/white	n/a
129022	0	111	button_press	n/a
129622	0	20	cross/white	n/a
131092	0	20	cross/white	n/a
132561	0	20	cross/white	n/a
134030	0	20	cross/white	n/a
135500	0	20	cross/white	n/a
136368	0	111	button_press	n/a
136969	0	20	cross/white	n/a
138438	0	20	cross/white	n/a
139306	0	111	button_press	n/a
139908	0	20	cross/white	n/a
141377	0	20	cross/white	n/a
142486	0	111	button_press	n/a
144316	0	20	cross/white	n/a
145785	0	20	cross/white	n/a
147254	0	20	cross/white	n/a
148723	0	20	cross/white	n/a
150025	0	111	button_press	n/a
150193	0	20	cross/white	n/a
151662	0	20	cross/white	n/a
153131	0	20	cross/white	n/a
153855	0	111	button_press	n/a
154601	0	200	feedback	n/a
158744	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
159226	0	20	cross/white	n/a
161394	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
161875	0	20	cross/white	n/a
163995	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
164428	0	20	cross/white	n/a
166476	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
166885	0	20	cross/white	n/a
